Nomor,Caption,Gambar
80,"Ready PROMO
*durpas black box uk 500gr*
Satuan 25/box
Rasanya manis legit. Warna daging kuning menyala.",80.jpeg
81,"Ready
*durpas navy box uk 500gr*
Harga 35rb
Kolian 33rb isi 100
Rasanya manis legit. Warna daging kuning menyala.
Yg mau kolian di list",81.jpeg
82,"Ready
*jeruk wogan manis*
Ecer 40rb/kg
Sedus 300rb
Berat 9kg
Rasanya manis non biji banyak air",82.jpeg
83,"Ready
*pier packam hijau pack*
Harga 35rb/pack
Sedus 280rb isi 10pack
Rasanya manis garing. Kaya jambu",83.jpeg
84,"*Ready anggur crimson*
Harga 65rb 900gr
Sedus 600rb 9kg isi 10bag
Manis lembut wangi non biji",84.jpeg
85,"*Baru Datang*
Anggur sweet sappire aust
Harga 70rb/bag
Dusan 630/9kg isi 10bag
Manis non biji",85.jpeg
86,"*Baru datang*
Anggur ijo crisp aust
Harga 65rb/bag
Dusan 600rb/9kg isi 10 bag
Manis garing non biji",86.jpeg
87,"Mini pao isi 30pcs
Harga 17rb
Rasa :
Strawberry
Ayam
coklat
Bakpao isi enak lembut",87.jpeg
88,"Ready
*Santang daun fresh*
Harga 45rb/kg
Sekrat 220rb
Berat 6kg
Rasanya manis segarr",88.jpeg
89,"Ready
*tahu susu asli jombang*
harga 17rb/bok
ga perlu dibumbui lg. Langsung cus goreng.",89.jpeg
90,"Ready Kentang mustofa
serba 28k
All varian",90.jpeg
91,"Ready
*dada ayam fillet*
Harga 52rb/kg
Grosir japri
Daging ayam tanpa tulang berat -+1 kg",91.jpeg
92,"Ready
*buah naga super*
Harga 25rb/kg
Min 5kg 24rb/kg
Buah naga dagingnya merah.ukuran besar. Harga  lagi tinggi.",92.jpeg
93,"Ready sarden fiesta
155gr Harga 12rb
425gr harga 24rb",93.jpeg
94,"Ready kacang sekat
Harga 40
Ada 5 varian Enak garing",94.jpeg
95,"*Ready aneka fiesta*
Chicken nugget 400gr 36rb
Crispy bubble 400gr 32rb
Fiesta stikie 400gr 36rb
Karage 400gr 40rb
Spicy wings 400gr 45rb
Cheesy bombs 38rb",95.jpeg
96,"Ready
*mangga gedong*
Harga 30rb/kg
Gedong gincu asli Indramayu. Rasanya manis. Wangi tdk berserat.",96.jpeg
97,"Ready
*melon sweet hami*
Harga 30/rb/kg
Dusan japrie 1 dus 50kg
Rasanya manis mantul garing.
Datang, Barang baru.",97.jpeg
98,"Ready
*melon sweet hami*
Harga 30/rb/kg
Dusan japrie 1 dus 50kg
Rasanya manis mantul garing.
Datang, Barang baru.",98.jpeg
99,"Ready
*salak pondoh manis*
Harga 1kg 15rb
Salak masir manis",99.jpeg
100,"Ready
*blueberry*
Harga 35rb/pack
Dusan 320rb isi 12 pack
Sz 18mm
Maniss",100.jpeg
101,"Ready
*mangga kiojay*
Harga 35rb/kg
Mangga jumbo. 1 kg isi 1-2pc, Dimakan mentah rasanya enak. Garing. Tidak masam. Apa lagi matang full manis.",101.jpeg
102,"Ready
*susu UHT coklat*
Harga 52rb/dus
Isi 24x200ml.exp 29 maret 2027",102.jpeg
103,"Ready
*Ayam kampung ungkep presto*
Harga 47rb/pack
Empuk bumbu meresap",103.jpeg
104,"*READY STOK*
Sabena stik all varian 360gr:
- balado
- keju
- balado
- cappucino
Ecer 15rb
Dusan 55rb 1dus isi 5",104.jpeg
105,"Frozen Risol Isi 6 Mix
Varian rasa :
- Coklat
- Matcha
- Redvelvet
22.000",105.jpeg
106,"Ready
PEYEK KACANG
Harga 33rb /toples Ukr 5liter
Enak ,,, renyah banget 🤩😍",106.jpeg
107,"Ready
*daging rendang super 1kg*
Harga 115rb/kg
Grosir partai japri
daging rendang fresh, cepat empuk Kemasan 1kg",107.jpeg
108,"*Ready anggur red globe Aussie*
Harga 70rb/kg
Sedus 570rb 9kg
Manis lembut wangi",108.jpeg
109,"Ready
*Santang daun fresh*
Harga 45rb/kg
Sekrat 220rb
Berat 6kg
Rasanya manis segarr",109.jpeg
